flow_id,src_ip,dst_ip,src_port,dst_port,protocol,packet_count,byte_count,duration_sec,bytes_per_packet,packets_per_sec,bytes_per_sec,pkt_len_min,pkt_len_max,pkt_len_mean,pkt_len_std,iat_mean,iat_std,sni_domain,label,source_file
14,192.168.1.253,10.0.0.96,23427,21,6,198,173052,53.7979339425744,874.0,3.680438736018216,3216.7034552799205,191,956,637.6851115910558,191.30553347731674,0.2717067370837091,0.13585336854185456,,P1,sample_data
15,192.168.1.160,10.0.0.71,10938,5060,17,256,244224,45.4552927433114,954.0,5.631907409454966,5372.839668620038,154,771,514.3990827458113,154.31972482374337,0.17755973727856014,0.08877986863928007,,P1,sample_data
16,192.168.1.28,10.0.0.28,47723,3478,17,51,38556,9.573376889293705,756.0,5.327273812549401,4027.419002287347,99,497,331.6482779490812,99.49448338472436,0.18771327233909227,0.09385663616954613,,P3,sample_data
17,192.168.1.190,10.0.0.225,31104,80,6,84,59220,4.540550686319527,705.0,18.499958662082154,13042.470856767917,122,610,406.8893514230925,122.06680542692774,0.054054174837137224,0.027027087418568612,,P3,sample_data
18,192.168.1.137,10.0.0.62,4772,80,6,135,75330,0.9136517666058468,558.0,147.75870297007762,82449.35625730331,196,983,655.3736512887829,196.61209538663485,0.006767790863747013,0.0033838954318735066,,P1,sample_data
19,192.168.1.180,10.0.0.113,52029,80,17,171,115083,13.51647106459768,673.0,12.651231166978409,8514.27857537647,203,1018,679.0510010086706,203.71530030260118,0.07904369043624374,0.03952184521812187,,P1,sample_data
20,192.168.1.184,10.0.0.81,50874,80,17,48,28080,21.655847107808817,585.0,2.2164914519872014,1296.6474994125128,103,516,344.42607898601995,103.32782369580598,0.4511634814126837,0.22558174070634185,,P3,sample_data
21,192.168.1.53,10.0.0.172,61145,21,17,73,38252,38.243905009731144,524.0,1.9088008921009814,1000.2116674609142,222,1110,740.3527257773834,222.10581773321502,0.5238891097223445,0.26194455486117224,,P1,sample_data
22,192.168.1.38,10.0.0.24,41796,3478,17,458,229916,22.494440135653566,502.0,20.360586760017757,10221.014553528914,156,781,521.079969138713,156.32399074161387,0.04911449811278071,0.024557249056390354,,P1,sample_data
23,192.168.1.187,10.0.0.70,52687,22,6,610,237290,245.5531837458288,389.0,2.484186890573607,966.3487004331331,54,270,180.14350879308589,54.04305263792576,0.4025462028620144,0.2012731014310072,,P2,sample_data
24,192.168.1.148,10.0.0.96,2758,3478,6,462,324324,42.81339718006206,702.0,10.791014739076827,7575.292346831933,241,1207,804.7505230698578,241.4251569209573,0.0926696908659352,0.0463348454329676,,P1,sample_data
25,192.168.1.220,10.0.0.185,40408,443,6,739,138932,282.9170969589183,188.0,2.612072610469732,491.0696507683096,53,266,177.50418882919865,53.25125664875959,0.3828377496061141,0.19141887480305705,,P2,sample_data
26,192.168.1.112,10.0.0.249,17395,3478,6,317,288470,14.09872629693933,910.0,22.484300590246725,20460.71353712452,146,731,487.4774635479681,146.24323906439042,0.044475477277411135,0.022237738638705568,,P1,sample_data
27,192.168.1.251,10.0.0.247,44040,80,6,323,178619,53.88433759822294,553.0,5.994320694974123,3314.85934432069,255,1275,850.2090285816653,255.06270857449957,0.16682457460750136,0.08341228730375068,,P1,sample_data
28,192.168.1.161,10.0.0.152,30323,5060,6,307,85960,261.207558807085,280.0,1.1753105515094802,329.0869544226544,69,346,230.901625424438,69.2704876273314,0.8508389537690064,0.4254194768845032,,P2,sample_data
29,192.168.1.254,10.0.0.217,17506,80,6,1945,2145335,76.7071965625549,1103.0,25.356160662368204,27967.845210592128,301,1506,1004.1386732274833,301.241601968245,0.03943814733293311,0.019719073666466556,,P0,sample_data
30,192.168.1.189,10.0.0.169,29667,80,17,385,245245,29.394018338380484,637.0,13.097902966784781,8343.364189841906,187,936,624.2120714931236,187.26362144793708,0.07634809958020905,0.038174049790104525,,P1,sample_data
31,192.168.1.145,10.0.0.128,45088,3478,6,296,237688,39.15315749330927,803.0,7.5600543851560955,6070.723671280344,247,1236,824.611705247089,247.38351157412671,0.13227418072063943,0.06613709036031971,,P1,sample_data
32,192.168.1.109,10.0.0.51,11701,5060,6,394,126474,15.017383781055473,321.0,26.23626097223629,8421.83977208785,265,1329,886.5052773762228,265.9515832128668,0.038115187261562114,0.019057593630781057,,P1,sample_data
33,192.168.1.197,10.0.0.252,41788,5060,17,897,220662,185.76404884911696,246.0,4.828706122402457,1187.8617061110042,74,372,248.50353876377278,74.55106162913184,0.20709481477047598,0.10354740738523799,,P2,sample_data
34,192.168.1.46,10.0.0.117,44549,5060,17,3620,3677920,119.40055618770751,1016.0,30.31811672894607,30803.206596609205,363,1817,1211.4750312959243,363.4425093887773,0.03298357905737776,0.01649178952868888,,P0,sample_data
35,192.168.1.99,10.0.0.188,55264,3478,6,2827,3810796,57.10025631490458,1348.0,49.5094099824922,66738.68465639949,430,2152,1434.9946685696514,430.4984005708954,0.020198180514646117,0.010099090257323058,,P0,sample_data
36,192.168.1.25,10.0.0.234,56030,21,17,435,200100,19.356859306798523,460.0,22.472653910710566,10337.42079892686,145,727,484.74637334304623,145.42391200291385,0.04449852714206557,0.022249263571032785,,P1,sample_data
37,192.168.1.127,10.0.0.155,11753,443,17,55,26785,20.463161987897468,487.0,2.6877566640252692,1308.9374953803062,122,611,407.5940343888492,122.27821031665475,0.37205749068904487,0.18602874534452243,,P3,sample_data
38,192.168.1.170,10.0.0.247,50713,5060,17,492,94464,221.40596916573202,192.0,2.2221623105008366,426.65516361616056,78,390,260.56399538158155,78.16919861447447,0.45001213245067484,0.22500606622533742,,P2,sample_data
39,192.168.1.20,10.0.0.65,13063,21,17,22,15510,1.1503610204456165,705.0,19.12443103424857,13482.72387914524,146,732,488.36832448459086,146.51049734537725,0.05228913729298257,0.026144568646491284,,P3,sample_data
40,192.168.1.191,10.0.0.86,54322,80,17,1666,1817606,73.67513850583146,1091.0,22.61278409226383,24670.547444659842,359,1795,1197.3133553581392,359.19400660744174,0.044222772212383826,0.022111386106191913,,P0,sample_data
41,192.168.1.180,10.0.0.170,63301,21,6,144,64656,35.65457900385614,449.0,4.03875193658649,1813.399619527334,124,622,415.25012496952473,124.57503749085741,0.24760124308233433,0.12380062154116717,,P1,sample_data
42,192.168.1.196,10.0.0.6,1900,3478,17,3624,3837816,33.74031302465275,1059.0,107.40860635620311,113745.7141312191,384,1920,1280.30071411855,384.09021423556504,0.00931024090084237,0.004655120450421185,,P0,sample_data
43,192.168.1.158,10.0.0.147,22160,5060,17,330,315150,58.56319872802081,955.0,5.63493810392062,5381.365889244192,197,987,658.1501741505976,197.44505224517928,0.17746423856976,0.08873211928488,,P1,sample_data
44,192.168.1.127,10.0.0.137,35723,22,6,445,168210,79.77009206946991,378.0,5.578531858938559,2108.6850426787755,49,249,166.17459332343952,49.85237799703186,0.17925863386397733,0.08962931693198867,,P2,sample_data
45,192.168.1.48,10.0.0.89,46567,22,6,1012,1252856,37.526718798105485,1238.0,26.967452322292836,33385.705974998535,374,1870,1247.1519991177543,374.14559973532624,0.03708173794279198,0.01854086897139599,,P0,sample_data
46,192.168.1.93,10.0.0.247,9154,3478,17,288,109440,207.42005869504504,380.0,1.3884867346577408,527.6249591699415,71,355,237.1345797355782,71.14037392067345,0.7202085371355731,0.36010426856778655,,P2,sample_data
47,192.168.1.47,10.0.0.241,52317,21,17,105,104580,20.841840169625893,996.0,5.037942866149747,5017.791094685148,133,668,445.89953290672094,133.76985987201627,0.198493715901199,0.0992468579505995,,P1,sample_data
48,192.168.1.39,10.0.0.100,63776,21,17,303,88779,56.415223375770395,293.0,5.37089072539478,1573.6709825406706,74,372,248.32317502336647,74.49695250700994,0.18618885602564486,0.09309442801282243,,P2,sample_data
49,192.168.1.180,10.0.0.223,24313,5060,17,861,136899,286.2693475296742,159.0,3.007656975606689,478.21745912146355,98,491,327.3360774596095,98.20082323788284,0.33248472419242064,0.16624236209621032,,P2,sample_data
50,192.168.1.2,10.0.0.241,50139,5060,17,344,280360,37.14314428119987,815.0,9.26146686440105,7548.095494486856,261,1307,871.9458022803785,261.58374068411354,0.10797425663139498,0.05398712831569749,,P1,sample_data
51,192.168.1.179,10.0.0.171,55908,3478,6,197,191878,38.77564899732001,974.0,5.08050813059546,4948.414919199978,188,943,629.1264452457583,188.73793357372747,0.19683070557015234,0.09841535278507617,,P1,sample_data
52,192.168.1.95,10.0.0.46,13185,22,6,49,11858,6.677942908889596,242.0,7.337588935474695,1775.696522384876,96,481,320.80839026254966,96.24251707876489,0.13628454916101218,0.06814227458050609,,P3,sample_data
53,192.168.1.202,10.0.0.90,12285,443,6,826,189980,207.0451115528004,230.0,3.9894687385041423,917.5778098559528,68,340,227.079324193113,68.1237972579339,0.250659941347216,0.125329970673608,,P2,sample_data
54,192.168.1.120,10.0.0.164,34520,22,6,215,172000,21.226027964965244,800.0,10.129073623895607,8103.258899116486,260,1302,868.3240759278536,260.4972227783561,0.09872571146495462,0.04936285573247731,,P1,sample_data
55,192.168.1.99,10.0.0.240,18979,443,6,413,312228,34.32695688312252,756.0,12.031360700169115,9095.708689327852,206,1031,687.9622876290423,206.38868628871268,0.08311611836107148,0.04155805918053574,,P1,sample_data
56,192.168.1.113,10.0.0.183,6668,80,6,763,228900,281.3044779129625,300.0,2.712363506122634,813.7090518367902,96,482,321.6825503686024,96.50476511058072,0.3686821466749181,0.18434107333745905,,P2,sample_data
57,192.168.1.141,10.0.0.187,40978,80,17,4452,4723572,64.62173097513855,1061.0,68.89323348074328,73095.72072306862,352,1762,1175.3281387986415,352.5984416395924,0.014515213606275505,0.007257606803137752,,P0,sample_data
58,192.168.1.128,10.0.0.52,55122,443,6,4671,5904144,45.124500134945634,1264.0,103.51361202963557,130841.20560545936,428,2141,1427.5278851728622,428.2583655518586,0.00966056521835702,0.00483028260917851,,P0,sample_data
59,192.168.1.213,10.0.0.228,53812,80,6,3640,3996720,76.26850184912308,1098.0,47.72612430752567,52403.28448966319,374,1873,1249.1663735556103,374.74991206668307,0.020952885123385463,0.010476442561692731,,P0,sample_data
60,192.168.1.215,10.0.0.221,38122,5060,17,3482,4864354,70.4481770556109,1397.0,49.42640314527022,69048.6851939425,359,1798,1198.6887256180196,359.60661768540587,0.02023210139448906,0.01011605069724453,,P0,sample_data
61,192.168.1.230,10.0.0.7,22701,22,17,18,4914,25.27195235288384,273.0,0.7122520551106523,194.44481104520807,168,840,560.0606115932524,168.0181834779757,1.4039973529379912,0.7019986764689956,,P3,sample_data
62,192.168.1.165,10.0.0.166,27986,22,6,3493,4478026,87.68664498721458,1282.0,39.835028475651086,51068.50650578469,310,1554,1036.6069512888548,310.9820853866564,0.025103534207619405,0.012551767103809702,,P0,sample_data
63,192.168.1.36,10.0.0.70,24827,5060,6,26,18460,27.323117484107843,710.0,0.9515751639659193,675.6183664158027,143,716,477.56662164638533,143.26998649391558,1.0508891340041477,0.5254445670020739,,P3,sample_data
64,192.168.1.126,10.0.0.195,21676,22,17,186,72540,15.299087188602133,390.0,12.157588077448867,4741.459350205058,169,847,565.1262645095493,169.5378793528648,0.08225315692796846,0.04112657846398423,,P1,sample_data
65,192.168.1.105,10.0.0.167,53248,5060,6,77,73843,7.569666017950279,959.0,10.172179303209223,9755.119951777644,137,688,458.76312338855246,137.62893701656574,0.09830735088247115,0.04915367544123558,,P1,sample_data
66,192.168.1.166,10.0.0.117,50309,443,17,210,169470,17.499869133770712,807.0,12.000089737514003,9684.0724181738,250,1251,834.2995640947302,250.28986922841904,0.08333271016081291,0.041666355080406454,,P1,sample_data
67,192.168.1.252,10.0.0.229,64163,5060,6,54,18792,2.25862271564701,348.0,23.908375500655957,8320.114674228273,173,866,577.3929990670788,173.21789972012363,0.04182634658605574,0.02091317329302787,,P3,sample_data
68,192.168.1.159,10.0.0.1,43380,21,17,27,6642,19.252560505922613,246.0,1.4024108633079773,344.9930723737624,152,763,508.72460669538515,152.61738200861555,0.7130577965156524,0.3565288982578262,,P3,sample_data
69,192.168.1.102,10.0.0.204,24983,3478,6,490,152390,57.54279324076685,311.0,8.515401710684666,2648.2899320229308,128,643,428.9319488788537,128.6795846636561,0.11743427191993235,0.05871713595996617,,P1,sample_data
70,192.168.1.178,10.0.0.28,28379,22,6,367,357825,28.09005509392894,975.0,13.06512211431437,12738.494061456511,173,865,576.6761140130264,173.00283420390792,0.07653965965648213,0.038269829828241064,,P1,sample_data
71,192.168.1.245,10.0.0.212,60876,3478,17,430,344430,2.4227990910242028,801.0,177.4806675440116,142162.01470275328,161,809,539.8817535844728,161.96452607534184,0.00563441649075396,0.00281720824537698,,P1,sample_data
72,192.168.1.197,10.0.0.47,11160,443,17,2081,2151754,100.47909672154859,1034.0,20.7107753542704,21414.941716315592,428,2141,1427.4099609813659,428.22298829440973,0.04828404455624632,0.02414202227812316,,P0,sample_data
73,192.168.1.146,10.0.0.224,47342,80,6,14,4452,12.926398380975703,318.0,1.083054969171023,344.41148019638524,159,799,533.2806851205677,159.9842055361703,0.9233141700696931,0.46165708503484654,,P3,sample_data
74,192.168.1.205,10.0.0.161,19041,80,6,82,42312,58.20990666996889,516.0,1.4086949230981103,726.886580318625,246,1231,821.0594615678543,246.3178384703563,0.7098769106093766,0.3549384553046883,,P1,sample_data
75,192.168.1.197,10.0.0.95,10884,21,6,904,1351480,18.289496638770856,1495.0,49.42727609483042,73893.77776177147,393,1966,1311.2714787260104,393.3814436178031,0.02023174406943679,0.010115872034718395,,P0,sample_data
76,192.168.1.85,10.0.0.78,56776,21,6,72,70272,45.54633152152613,976.0,1.580807884954935,1542.8684957160165,176,883,588.9252746378932,176.67758239136793,0.632587937798974,0.316293968899487,,P1,sample_data
77,192.168.1.34,10.0.0.92,48222,443,17,86,55470,26.468399356896576,645.0,3.2491575648525926,2095.706629329922,158,790,527.0997396516686,158.1299218955006,0.30777208554530905,0.15388604277265452,,P3,sample_data
78,192.168.1.133,10.0.0.222,25309,5060,6,137,82885,51.20479926895314,605.0,2.6755304572215524,1618.6959266190393,202,1013,675.9534193872428,202.78602581617284,0.37375765889746815,0.18687882944873407,,P1,sample_data
79,192.168.1.142,10.0.0.66,27722,5060,6,274,164948,25.521878830571968,602.0,10.735886719741918,6463.003805284635,237,1188,792.3341319721548,237.7002395916464,0.09314554317726996,0.04657277158863498,,P1,sample_data
80,192.168.1.179,10.0.0.191,11233,3478,6,1829,2006413,80.03087537845109,1097.0,22.85367979983975,25070.486740424207,374,1874,1249.6670238440015,374.90010715320045,0.04375662951254843,0.021878314756274216,,P0,sample_data
81,192.168.1.51,10.0.0.81,52356,22,17,491,311294,24.094295548115575,634.0,20.37826750400268,12919.821597537697,213,1066,711.0433501139368,213.31300503418103,0.04907188502671197,0.024535942513355984,,P1,sample_data
82,192.168.1.69,10.0.0.34,8965,22,17,420,264180,46.25060560826615,629.0,9.080962172848508,5711.925206721712,129,649,433.11798892593293,129.93539667777986,0.11012048954349082,0.05506024477174541,,P1,sample_data
83,192.168.1.249,10.0.0.151,41142,5060,17,254,86868,14.788664317302487,342.0,17.175317158482276,5873.958468200939,131,656,437.931664054332,131.3794992162996,0.05822308786339562,0.02911154393169781,,P1,sample_data
84,192.168.1.96,10.0.0.195,34458,22,17,999,252747,218.0553958813113,253.0,4.581404628683258,1159.0953710568645,69,348,232.33224287150563,69.69967286145169,0.21827366955086216,0.10913683477543108,,P2,sample_data
85,192.168.1.170,10.0.0.61,24085,22,17,3622,5078044,100.39697005288942,1402.0,36.07678596367918,50579.653921078214,346,1732,1155.287182520074,346.5861547560222,0.027718655453586254,0.013859327726793127,,P0,sample_data
86,192.168.1.218,10.0.0.45,17306,80,17,1023,1375935,108.36389891855183,1345.0,9.44041336837561,12697.355980465196,317,1586,1057.9367792348398,317.38103377045195,0.1059275649252706,0.0529637824626353,,P0,sample_data
87,192.168.1.63,10.0.0.48,53820,80,17,220,79860,52.07493862619542,363.0,4.2246809272153945,1533.559176579188,97,487,324.7157248213555,97.41471744640664,0.23670426648270645,0.11835213324135323,,P2,sample_data
88,192.168.1.56,10.0.0.214,9741,443,17,17,7684,29.60145288013764,452.0,0.5742961356943016,259.5818533338243,138,691,460.9771937961998,138.29315813885992,1.7412619341257436,0.8706309670628718,,P3,sample_data
89,192.168.1.56,10.0.0.115,6150,5060,6,235,160975,44.97452081895852,685.0,5.2251807405791935,3579.248807296747,125,627,418.3416014452989,125.50248043358967,0.19138093965514263,0.09569046982757132,,P1,sample_data
90,192.168.1.192,10.0.0.217,39542,22,17,27,19035,11.270253453000638,705.0,2.395687028033199,1688.9593547634054,125,628,419.14914975122474,125.74474492536741,0.4174167945555792,0.2087083972777896,,P3,sample_data
91,192.168.1.44,10.0.0.25,40080,22,17,2476,3149472,33.259280769619906,1272.0,74.4453861510336,94694.53118411475,344,1721,1147.3738084800616,344.2121425440185,0.013432665900492692,0.006716332950246346,,P0,sample_data
92,192.168.1.228,10.0.0.111,27093,443,6,413,151158,39.104958997348774,366.0,10.561320369316855,3865.443255169969,191,959,639.7910508771251,191.93731526313755,0.0946851307441859,0.04734256537209295,,P1,sample_data
93,192.168.1.6,10.0.0.180,55577,443,6,468,180180,64.44668175480221,385.0,7.261816857857498,2795.799490275137,62,310,206.7551811597449,62.026554347923465,0.1377065849461586,0.0688532924730793,,P2,sample_data
94,192.168.1.198,10.0.0.70,6646,3478,17,384,259584,14.614994108291672,676.0,26.274386233391734,17761.48509377281,135,676,450.89123631020186,135.26737089306056,0.038059880490342896,0.019029940245171448,,P1,sample_data
95,192.168.1.131,10.0.0.243,36382,22,17,2897,3169318,16.121883829267286,1094.0,179.69364068613712,196584.842910634,413,2068,1379.0413158841816,413.7123947652545,0.005565027210654914,0.002782513605327457,,P0,sample_data
96,192.168.1.79,10.0.0.134,1141,80,17,15,7815,17.703954116364137,521.0,0.8472683504152998,441.4268105663712,172,862,575.2186839256594,172.56560517769782,1.1802636077576092,0.5901318038788046,,P3,sample_data
97,192.168.1.173,10.0.0.44,64132,21,17,4789,6388526,68.85404052494016,1334.0,69.55292621157561,92783.60356624187,364,1821,1214.4787678568855,364.34363035706565,0.01437754030589688,0.00718877015294844,,P0,sample_data
98,192.168.1.1,10.0.0.90,13965,21,6,294,154056,44.306707430060044,524.0,6.635564162922535,3477.035621371408,199,997,664.9200115905583,199.47600347716747,0.15070308649680286,0.07535154324840143,,P1,sample_data
99,192.168.1.10,10.0.0.5,23446,443,17,375,209250,3.583500440934401,558.0,104.64628264485951,58392.62571583161,170,852,568.3021390969603,170.49064172908808,0.00955600117582507,0.004778000587912535,,P1,sample_data
100,192.168.1.73,10.0.0.17,53000,5060,6,187,175967,5.72815261893808,941.0,32.645778218574634,30719.677303678727,140,704,469.4123867210102,140.82371601630305,0.030631832186834653,0.015315916093417327,,P1,sample_data
101,192.168.1.188,10.0.0.236,43953,21,6,438,396390,6.848605381749445,905.0,63.95462661160291,57878.937083500634,247,1238,825.3637300082273,247.6091190024682,0.01563608534645992,0.00781804267322996,,P1,sample_data
102,192.168.1.40,10.0.0.64,44949,3478,17,236,73396,78.93292786472824,311.0,2.989880223427748,929.8527494860297,48,244,163.2992534733555,48.989776042006646,0.3344615587488485,0.16723077937442424,,P2,sample_data
103,192.168.1.35,10.0.0.213,16548,22,6,878,223012,232.63551968663464,254.0,3.7741442114372132,958.6326297050522,92,464,309.9074261839031,92.97222785517093,0.2649607285724768,0.1324803642862384,,P2,sample_data
104,192.168.1.89,10.0.0.146,44327,21,17,509,107399,126.88423071334567,211.0,4.011530803618321,846.4329995634657,97,488,325.44010816262164,97.63203244878649,0.24928139629340998,0.12464069814670499,,P2,sample_data
105,192.168.1.145,10.0.0.225,12270,443,17,441,142002,26.605308185606173,322.0,16.57563960257325,5337.355952028587,206,1033,688.7431354530629,206.62294063591887,0.06032949701951513,0.030164748509757564,,P1,sample_data
106,192.168.1.67,10.0.0.135,18610,443,17,2651,3801534,69.71342416747498,1434.0,38.02710929291624,54530.8747260419,358,1791,1194.187664411399,358.2562993234197,0.02629702910881742,0.01314851455440871,,P0,sample_data
107,192.168.1.38,10.0.0.185,2144,22,6,2535,3744195,108.32818413560534,1477.0,23.40111227957707,34563.44283693533,406,2032,1354.8687450510388,406.4606235153116,0.04273301149333544,0.02136650574666772,,P0,sample_data
108,192.168.1.123,10.0.0.74,44896,21,17,388,133860,183.87021491525547,345.0,2.1101840783665073,728.013507036445,90,453,302.4917371481381,90.74752114444142,0.4738923064826172,0.2369461532413086,,P2,sample_data
109,192.168.1.15,10.0.0.157,21127,22,6,322,169694,27.69151304725986,527.0,11.628111452431547,6128.014735431426,210,1052,701.9789360362563,210.5936808108769,0.0859984877244095,0.04299924386220475,,P1,sample_data
110,192.168.1.243,10.0.0.164,34585,5060,6,351,345384,43.342173924491426,984.0,8.09834782656483,7968.774261339793,216,1080,720.5738164426486,216.1721449327946,0.12348197699285307,0.061740988496426535,,P1,sample_data
111,192.168.1.200,10.0.0.23,1838,443,17,30,16590,54.55280839935089,553.0,0.5499258586356658,304.1089998255232,207,1037,691.6958973830602,207.50876921491806,1.8184269466450296,0.9092134733225148,,P1,sample_data
112,192.168.1.225,10.0.0.111,27239,3478,6,317,91930,67.5613724186267,290.0,4.692030203824026,1360.6887591089676,51,255,170.1589206031773,51.04767618095319,0.21312735778746594,0.10656367889373297,,P2,sample_data
113,192.168.1.106,10.0.0.241,42587,443,6,77,25564,27.752482054141574,332.0,2.774526611702073,921.1428350850881,153,768,512.1715902940196,153.65147708820587,0.3604218448589815,0.18021092242949074,,P3,sample_data
114,192.168.1.151,10.0.0.1,12077,22,6,48,36528,56.09483737875638,761.0,0.8556937187623977,651.1829199781847,258,1294,862.7842564533881,258.83527693601644,1.168642445390758,0.584321222695379,,P1,sample_data
115,192.168.1.55,10.0.0.115,55207,22,6,1705,2506350,111.29260708791095,1470.0,15.319975374942977,22520.363801166175,417,2087,1391.4533629279576,417.43600887838727,0.06527425635654602,0.03263712817827301,,P0,sample_data
116,192.168.1.35,10.0.0.63,64755,80,17,701,1005935,96.65688775859417,1435.0,7.25245780467074,10407.276949702513,381,1907,1271.6746892785625,381.50240678356874,0.13788429066846528,0.06894214533423264,,P0,sample_data
117,192.168.1.128,10.0.0.171,42938,3478,6,11,4499,14.944272364583133,409.0,0.7360679551096259,301.051793639837,172,863,575.5364174817903,172.66092524453708,1.358570214962103,0.6792851074810515,,P3,sample_data
118,192.168.1.161,10.0.0.177,38172,5060,17,4620,6717480,28.20646491707712,1454.0,163.79223747400192,238153.9132871988,304,1522,1015.2456221109677,304.5736866332903,0.00610529543659678,0.00305264771829839,,P0,sample_data
119,192.168.1.105,10.0.0.177,38035,21,17,389,298752,31.15283410320535,768.0,12.486825394803336,9589.881903208963,266,1331,887.7706578413781,266.3311973524134,0.08008440643497519,0.040042203217487596,,P1,sample_data
120,192.168.1.141,10.0.0.222,27862,5060,6,2224,3022416,65.2414511364367,1359.0,34.08875739672072,46326.62130214346,380,1901,1267.9232577940197,380.3769773382059,0.029335184863505708,0.014667592431752854,,P0,sample_data
121,192.168.1.221,10.0.0.30,8335,5060,17,417,75477,156.42259367917242,181.0,2.6658552974468632,482.51980883788224,82,412,274.99519741021044,82.49855922306313,0.3751141335231953,0.18755706676159764,,P2,sample_data
122,192.168.1.113,10.0.0.114,12509,21,6,390,184860,31.89503994361476,474.0,12.227606571098722,5795.8855147007935,200,1000,667.2279456286235,200.16838368858706,0.08178215370157631,0.040891076850788154,,P1,sample_data
123,192.168.1.10,10.0.0.202,11117,443,17,3835,5415020,18.305370018427816,1412.0,209.50136468912387,295815.9269410429,401,2008,1338.960799336353,401.6882398009059,0.004773238596721725,0.0023866192983608625,,P0,sample_data
124,192.168.1.8,10.0.0.65,46392,5060,17,64,43200,25.353876924240545,675.0,2.5242687811113553,1703.881427250165,168,840,560.0981280034571,168.0294384010371,0.3961543269412585,0.19807716347062926,,P3,sample_data
125,192.168.1.51,10.0.0.97,21083,443,6,827,870831,47.31983704858101,1053.0,17.476814198471537,18403.08535099053,376,1884,1256.2495829935751,376.8748748980725,0.057218666322347046,0.028609333161173523,,P0,sample_data
126,192.168.1.196,10.0.0.244,42148,21,6,97,56939,51.413939852324,587.0,1.8866478678469811,1107.4622984261778,244,1222,815.1099322834958,244.53297968504873,0.5300406170342681,0.26502030851713404,,P1,sample_data
127,192.168.1.85,10.0.0.147,21103,22,6,330,100980,38.17782610720215,306.0,8.64376088553,2644.99083097218,230,1151,767.9523065980011,230.38569197940032,0.11569038214303683,0.05784519107151841,,P1,sample_data
